iter	Passed	Remaining
327	3003	6154
328	3013	6145
329	3021	6134
330	3030	6125
331	3038	6113
332	3048	6105
333	3056	6095
334	3065	6085
335	3074	6075
336	3083	6066
337	3091	6054
338	3099	6043
339	3109	6035
340	3118	6025
341	3127	6016
342	3135	6005
343	3144	5996
344	3153	5987
345	3163	5978
346	3172	5970
347	3182	5962
348	3191	5952
349	3199	5941
350	3208	5932
351	3217	5923
352	3226	5913
353	3235	5903
354	3244	5894
355	3252	5883
356	3261	5873
357	3269	5863
358	3277	5852
359	3286	5842
360	3295	5833
361	3304	5824
362	3313	5814
363	3322	5806
364	3331	5795
365	3339	5785
366	3349	5776
367	3357	5766
368	3365	5755
369	3373	5744
370	3382	5734
371	3390	5724
372	3399	5714
373	3409	5707
374	3419	5698
375	3428	5689
376	3437	5679
377	3445	5669
378	3454	5660
379	3463	5650
380	3472	5642
381	3480	5630
382	3489	5622
383	3497	5611
384	3506	5601
385	3514	5590
386	3524	5582
387	3533	5574
388	3542	5564
389	3552	5555
390	3560	5546
391	3570	5537
392	3578	5526
393	3587	5518
394	3595	5507
395	3605	5499
396	3615	5492
397	3626	5484
398	3636	5478
399	3645	5467
400	3654	5458
401	3661	5447
402	3671	5438
403	3680	5429
404	3690	5421
405	3699	5412
406	3708	5403
407	3718	5396
408	3727	5386
409	3737	5377
410	3745	5367
